session,rtt,download_lossrate,download_throughput,Stalling_number,Stalling_length,join_time,QoE_linear
1,993,0.07,5217,2,27968,26522,2
1,933,0.04,5198,3,5925,20380,3
1,873,0,5179,1,849,11620,4
1,813,0.04,5160,1,7270,13393,4
1,753,0.07,5141,1,18886,20276,3
1,693,0.11,5122,2,4896,74843,1
1,633,0.15,5103,2,28361,29876,2
1,573,0.11,5084,2,7931,34285,3
1,513,0.08,5065,1,3527,22773,3
1,453,0.04,5046,2,2472,10132,4
1,393,0,5027,0,0,6678,5
1,333,0.03,5008,1,3302,7667,4
1,273,0.07,4989,1,25541,37947,1
1,213,0.11,4970,4,3781,6739,4
1,153,0.15,4951,2,1980,5188,5
1,93,0.12,4932,2,7363,8384,4
1,33,0.08,4913,2,6944,2069,4
1,27,0.04,4894,0,0,2049,5
1,87,0,4875,0,0,3613,5
1,147,0.03,4856,1,431,6042,5
1,207,0.07,4837,2,25675,25161,2
1,267,0.11,4818,1,19189,19325,3
1,327,0.14,4799,1,9515,21492,3
1,387,0.12,4780,2,4021,10620,4
1,447,0.08,4761,1,4520,10496,4
1,507,0.04,4742,3,2310,32855,3
1,567,0.01,4723,1,9977,8850,4
1,627,0.03,4704,2,2431,11934,4
1,687,0.07,4685,2,7399,24673,3
1,747,0.1,4666,2,11720,21634,3
1,807,0.14,4647,2,16195,18989,3
1,867,0.12,4628,1000,400000,400000,1
1,927,0.08,4609,2,4270,26814,3
1,987,0.05,4590,2,19378,28450,2
1,1047,0.01,4571,2,4387,22437,3
1,1107,0.03,4552,2,15296,17518,3
1,1167,0.06,4533,2,13087,32391,2
1,1227,0.1,4514,2,25516,43437,1
1,1287,0.14,4495,2,82471,98267,1
1,1347,0.12,4476,2,26658,39795,1
1,1407,0.09,4457,2,12301,36411,2
1,1467,0.05,4438,2,10906,31687,3
1,1527,0.01,4419,3,5145,28889,3
1,1587,0.03,4400,2,3190,32031,3
1,1647,0.06,4381,1,25530,48149,1
1,1707,0.1,4362,1,13936,40685,2
1,1767,0.14,4343,2,18557,98119,1
1,1827,0.13,4324,1000,400000,400000,1
1,1887,0.09,4305,2,22616,39133,1
1,1947,0.05,4286,2,16849,61698,1
1,1993,0.01,4267,1,12741,32430,2
1,1933,0.02,4248,2,12895,40178,2
1,1873,0.06,4229,2,41577,69147,1
1,1813,0.1,4210,2,14488,45446,2
1,1753,0.13,4191,1000,400000,400000,1
1,1693,0.13,4172,1000,400000,400000,1
1,1633,0.09,4153,2,49568,154291,1
1,1573,0.05,4134,2,18819,45699,1
1,1513,0.02,4115,2,8702,37110,2
1,1453,0.02,4096,2,3318,29037,3
1,1393,0.06,4077,2,23679,20288,2
1,1333,0.09,4058,2,15879,34472,2
1,1273,0.13,4039,2,21662,40588,1
1,1213,0.13,4020,2,33900,35901,1
1,1153,0.09,4001,2,1914,35049,3
1,1093,0.06,3982,2,11045,27314,3
1,1033,0.02,3963,2,4779,15823,4
