Time,Min,Quality,Memory Usage,CPU Frequency,CPU Load,Wi-Fi RSSI Level,Battery
146,00:00:00,720,1824916,1586000,52.87,-57,71
10055,00:00:10,720,1824984,1586000,52.87,-57,71
20038,00:00:20,720,1826428,902000,30.07,-57,71
30025,00:00:30,720,1818608,1352000,45.07,-57,71
40037,00:00:40,720,1781372,1352000,45.07,-57,71
50026,00:00:50,720,1807700,1014000,33.8,-57,71
60067,00:01:00,720,1801960,1482000,49.4,-57,71
70064,00:01:10,720,1819316,902000,30.07,-57,71
80051,00:01:20,720,1748760,1482000,49.4,-57,71
90042,00:01:30,720,1827760,1586000,52.87,-57,71
100032,00:01:40,720,1771156,1248000,41.6,-57,71
110025,00:01:50,720,1802232,1586000,52.87,-57,71
120075,00:02:00,720,1817648,902000,30.07,-64,71
130060,00:02:10,720,1793944,902000,30.07,-57,71
140046,00:02:20,720,1811088,676000,22.53,-67,71
150043,00:02:30,720,1813684,902000,30.07,-62,71
160034,00:02:40,720,1811620,902000,30.07,-62,71
170026,00:02:50,720,1812116,1586000,52.87,-66,71
180022,00:03:00,720,1805408,1144000,38.13,-60,71
190055,00:03:10,720,1825336,757000,25.23,-60,71
200049,00:03:20,720,1801820,1586000,52.87,-60,70
210041,00:03:30,720,1851388,1586000,52.87,-66,70
220041,00:03:40,720,1818476,1014000,33.8,-56,70
230033,00:03:50,720,1800992,1144000,38.13,-67,70
240027,00:04:00,720,1812612,676000,22.53,-56,70
250073,00:04:10,720,1767132,902000,30.07,-67,70
260062,00:04:20,720,1799556,1586000,52.87,-67,70
270051,00:04:30,720,1824976,839000,27.97,-60,70
280038,00:04:40,720,1821704,1248000,41.6,-69,70
290031,00:04:50,720,1821720,1248000,41.6,-55,70
300028,00:05:00,720,1796436,1586000,52.87,-55,70
310073,00:05:10,720,1818368,1586000,52.87,-55,70
320067,00:05:20,720,1823576,1586000,52.87,-55,70
330063,00:05:30,720,1825060,1248000,41.6,-55,70
340052,00:05:40,720,1774960,902000,30.07,-55,70
350049,00:05:50,720,1811524,1482000,49.4,-64,70
360042,00:06:00,720,1787304,902000,30.07,-63,70
370036,00:06:10,720,1818496,902000,30.07,-63,70
380032,00:06:20,720,1788208,757000,25.23,-67,70
390071,00:06:30,720,1817076,1014000,33.8,-67,70
400069,00:06:40,720,1794492,757000,25.23,-56,70
410064,00:06:50,720,1818908,902000,30.07,-56,70
420052,00:07:00,720,1824084,1482000,49.4,-56,70
430049,00:07:10,720,1810292,1144000,38.13,-56,70
440041,00:07:20,720,1824828,839000,27.97,-56,70
450079,00:07:30,720,1803624,1586000,52.87,-56,70
460068,00:07:40,720,1807144,676000,22.53,-56,70
470058,00:07:50,720,1802824,676000,22.53,-56,70
480060,00:08:00,720,1825024,902000,30.07,-56,70
490053,00:08:10,720,1813352,902000,30.07,-56,70
500051,00:08:20,720,1825256,902000,30.07,-56,69
510045,00:08:30,720,1807152,676000,22.53,-56,69
520032,00:08:40,720,1804784,676000,22.53,-56,69
530071,00:08:50,720,1800752,1586000,52.87,-56,69
540060,00:09:00,720,1820316,1248000,41.6,-65,69
