Time,CPU Frequency,CPU Load,Memory Usage,Wi-Fi RSSI Level,Quality,Screen Bright,Battery,Download,Upload
27,1144000,44,1824244,-61,360,3,79,456,17
10002,1586000,44,1812244,-67,360,3,79,456,17
20043,1586000,44,1828204,-63,360,3,79,456,17
30031,1586000,44,1794804,-63,360,3,79,456,17
40012,1586000,44,1816568,-65,360,3,79,456,17
50001,1586000,44,1781596,-60,360,3,79,456,17
60043,1144000,44,1823864,-60,360,3,79,456,17
70033,1586000,44,1806756,-60,360,3,79,456,17
80029,839000,44,1821872,-65,360,3,79,456,17
90018,1586000,44,1805176,-59,360,3,79,456,17
100017,1586000,44,1822904,-59,360,3,79,456,17
110005,1586000,44,1810224,-65,360,3,79,456,17
120007,1586000,44,1790844,-63,360,3,79,456,17
130068,1586000,44,1818592,-63,360,3,79,456,17
140051,1586000,44,1843640,-66,360,3,79,456,17
150047,902000,44,1816888,-61,360,3,79,456,17
160037,1586000,44,1825108,-61,360,3,79,456,17
170040,1586000,44,1824324,-61,360,3,79,456,17
180021,1586000,44,1775696,-71,360,3,79,456,17
190014,1586000,44,1803452,-62,360,3,79,456,17
200012,1586000,44,1794920,-66,360,3,79,456,17
210056,1586000,44,1824520,-59,360,3,79,456,17
220052,1586000,44,1811024,-59,360,3,79,456,17
230010,1586000,44,1816344,-59,360,3,79,456,17
240045,1586000,44,1790760,-59,360,3,78,456,17
250046,1586000,44,1808476,-64,360,3,78,456,17
260039,1586000,44,1817076,-61,360,3,78,456,17
270036,1586000,44,1810524,-61,360,3,78,456,17
280029,1248000,44,1824372,-64,360,3,78,456,17
290022,1586000,44,1776328,-63,360,3,78,456,17
300016,1586000,44,1788184,-63,360,3,78,456,17
310054,1586000,44,1823772,-63,360,3,78,456,17
320047,1586000,44,1824416,-63,360,3,78,456,17
330041,1586000,44,1789292,-63,360,3,78,456,17
340049,1586000,44,1818152,-63,360,3,78,456,17
350040,1586000,44,1825828,-63,360,3,78,456,17
360036,1586000,44,1823748,-64,360,3,78,456,17
370032,1586000,44,1817264,-63,360,3,78,456,17
380023,1586000,44,1804912,-65,360,3,78,456,17
390016,1586000,44,1818348,-59,360,3,78,456,17
400054,1586000,44,1766668,-59,360,3,78,456,17
410044,1586000,44,1793616,-59,360,3,78,456,17
420037,1586000,44,1800960,-64,360,3,78,456,17
430033,1586000,44,1799400,-63,360,3,78,456,17
440021,1586000,44,1811224,-64,360,3,78,456,17
450061,1586000,44,1824848,-62,360,3,78,456,17
460050,1586000,44,1812060,-62,360,3,78,456,17
470046,1586000,44,1819640,-64,360,3,78,456,17
480041,1586000,44,1801984,-63,360,3,78,456,17
490033,1586000,44,1816588,-68,360,3,78,456,17
500026,1586000,44,1809756,-62,360,3,78,456,17
510018,1586000,44,1823932,-62,360,3,78,456,17
520061,1586000,44,1823564,-68,360,3,78,456,17
530053,1586000,44,1822748,-59,360,3,78,456,17
540047,1586000,44,1823732,-59,360,3,78,456,17
550052,1586000,44,1812472,-64,360,3,78,456,17
560053,1586000,44,1825748,-62,360,3,78,456,17
570050,1586000,44,1816508,-62,360,3,78,456,17
580044,1586000,44,1819196,-62,360,3,78,456,17
590028,1586000,44,1817832,-68,360,3,78,456,17
600024,1586000,44,1820744,-63,360,3,78,456,17
610067,1586000,44,1779260,-66,360,3,78,456,17
620063,1586000,44,1793148,-63,360,3,78,456,17
630052,1586000,44,1823932,-65,360,3,78,456,17
640045,1586000,44,1824180,-65,360,3,77,456,17
650038,1586000,44,1825748,-60,360,3,77,456,17
660032,1586000,44,1782564,-66,360,3,77,456,17
670035,1586000,44,1797880,-77,360,3,77,456,17
680024,1586000,44,1789200,-77,360,3,77,456,17
690065,1586000,44,1763264,-74,360,3,77,456,17
700049,1482000,44,1795556,-74,360,3,77,456,17
710047,1248000,44,1821956,-63,360,3,77,456,17
720033,1586000,44,1824160,-66,360,3,77,456,17
730021,1586000,44,1824360,-61,360,3,77,456,17
740056,546000,44,1802808,-65,360,3,77,456,17
750044,546000,44,1826104,-63,360,3,77,456,17
760031,1586000,44,1807904,-65,360,3,77,456,17
770071,546000,44,1824720,-63,360,3,77,456,17
780060,902000,44,1815256,-63,360,3,77,456,17
790060,902000,44,1821960,-62,360,142,77,28,3
800060,546000,44,1813436,-65,360,142,77,28,3
810060,839000,44,1796604,-63,360,142,77,28,3
820060,1586000,44,1814532,-66,360,142,77,28,3
830060,839000,44,1796296,-58,360,142,77,28,3
840060,839000,44,1818272,-58,360,142,77,28,3
850060,1586000,44,1829848,-66,360,142,77,28,3
860060,1586000,44,1825928,-59,360,142,77,28,3
870060,902000,44,1797388,-59,360,142,77,28,3
880060,1586000,44,1790340,-59,360,142,77,28,3
890060,902000,44,1767716,-59,360,142,77,28,3
900060,902000,44,1826164,-64,360,142,76,28,3
910060,546000,44,1799488,-60,360,142,76,28,3
920060,902000,44,1785952,-60,360,142,76,28,3
930060,757000,44,1797636,-60,360,142,76,28,3
940060,1014000,44,1821784,-69,360,142,76,28,3
950060,1144000,44,1813148,-60,360,142,76,28,3
960060,1248000,44,1824728,-60,360,142,76,28,3
970060,1248000,44,1803476,-64,360,142,76,28,3
980060,757000,44,1818684,-64,360,142,76,28,3
990060,902000,44,1819144,-63,360,142,76,28,3
1000060,757000,44,1820456,-63,360,142,76,28,3
1010060,1586000,44,1814844,-64,360,142,76,28,3
1020060,1482000,44,1822688,-61,360,142,76,28,3
1030060,1586000,44,1794524,-65,360,142,76,28,3
1040060,1586000,44,1817464,-61,360,142,76,28,3
1050060,1352000,44,1807880,-61,360,142,76,28,3
1060060,1248000,44,1822420,-72,360,142,76,28,3
1070060,902000,44,1784924,-62,360,142,76,28,3
1080060,1586000,44,1778280,-62,360,142,76,28,3
1090060,902000,44,1800196,-65,360,142,76,28,3
1100060,902000,44,1794244,-63,360,142,76,28,3
1110060,902000,44,1804812,-63,360,142,76,28,3
1120060,902000,44,1824960,-65,360,142,76,28,3
1130060,839000,44,1793936,-61,360,142,76,28,3
1140060,839000,44,1740756,-66,360,142,76,28,3
1150060,839000,44,1730816,-63,360,142,76,28,3
1160060,757000,44,1817856,-63,360,142,76,28,3
1170060,839000,44,1796332,-64,360,142,76,28,3
1180060,676000,44,1818792,-62,360,142,76,28,3
1190060,902000,44,1803328,-62,360,142,76,28,3
1200060,1586000,44,1785368,-64,360,142,76,28,3
1210060,902000,44,1789072,-61,360,142,76,28,3
1220060,1248000,44,1821140,-61,360,142,75,28,3
1230060,902000,44,1807584,-64,360,142,75,28,3
1240060,757000,44,1825252,-63,360,142,75,28,3
1250060,902000,44,1805600,-63,360,142,75,28,3
1260060,546000,44,1807344,-67,360,142,75,28,3
1270060,902000,44,1782312,-61,360,142,75,28,3
1280060,902000,44,1802652,-61,360,142,75,28,3
1290060,1586000,44,1819912,-65,360,142,75,28,3
1300060,1586000,44,1825384,-56,360,142,75,28,3
1310060,1482000,44,1792616,-64,360,142,75,28,3
1320060,1482000,44,1825292,-63,360,142,75,28,3
1330060,902000,44,1760936,-63,360,142,75,28,3
1340060,1482000,44,1781180,-63,360,142,75,28,3
1350060,1144000,44,1782388,-63,360,142,75,28,3
1360060,839000,44,1809312,-64,360,142,75,28,3
1370060,1014000,44,1803296,-61,360,142,75,28,3
