Time,CPU Frequency,CPU Load,Memory Usage,Wi-Fi RSSI Level,Quality,Screen Bright,Battery,Download,Upload
146,1586000,40,1824916,-57,720,4,71,820,11
10055,1586000,40,1824984,-57,720,4,71,820,11
20038,902000,40,1826428,-57,720,4,71,820,11
30025,1352000,40,1818608,-57,720,4,71,820,11
40037,1352000,40,1781372,-57,720,4,71,820,11
50026,1014000,40,1807700,-57,720,4,71,820,11
60067,1482000,40,1801960,-57,720,4,71,820,11
70064,902000,40,1819316,-57,720,4,71,820,11
80051,1482000,40,1748760,-57,720,4,71,820,11
90042,1586000,40,1827760,-57,720,4,71,820,11
100032,1248000,40,1771156,-57,720,4,71,820,11
110025,1586000,40,1802232,-57,720,4,71,820,11
120075,902000,40,1817648,-64,720,4,71,820,11
130060,902000,40,1793944,-57,720,4,71,820,11
140046,676000,40,1811088,-67,720,4,71,820,11
150043,902000,40,1813684,-62,720,4,71,820,11
160034,902000,40,1811620,-62,720,4,71,820,11
170026,1586000,40,1812116,-66,720,4,71,820,11
180022,1144000,40,1805408,-60,720,4,71,820,11
190055,757000,40,1825336,-60,720,4,71,820,11
200049,1586000,40,1801820,-60,720,4,70,820,11
210041,1586000,40,1851388,-66,720,4,70,820,11
220041,1014000,40,1818476,-56,720,4,70,820,11
230033,1144000,40,1800992,-67,720,4,70,820,11
240027,676000,40,1812612,-56,720,4,70,820,11
250073,902000,40,1767132,-67,720,4,70,820,11
260062,1586000,40,1799556,-67,720,4,70,820,11
270051,839000,40,1824976,-60,720,4,70,820,11
280038,1248000,40,1821704,-69,720,4,70,820,11
290031,1248000,40,1821720,-55,720,4,70,820,11
300028,1586000,40,1796436,-55,720,4,70,820,11
310073,1586000,40,1818368,-55,720,4,70,820,11
320067,1586000,40,1823576,-55,720,4,70,820,11
330063,1248000,40,1825060,-55,720,4,70,820,11
340052,902000,40,1774960,-55,720,4,70,820,11
350049,1482000,40,1811524,-64,720,4,70,820,11
360042,902000,40,1787304,-63,720,4,70,820,11
