user_id,QoS_bandwidth,QoS_delay,QoS_jitter,QoA_VLCresolution,QoA_BUFFERINGtime,V_content,V_complexity-class,QoD_model,QoU_sex,QoU_age,QoF_begin,QoF_shift,QoF_audio,QoF_video,MOS,QoA_VLCbitrate
71,1024,0.36,0.043,360,683,1,0,6,1,20,3,5,3,4,3,528
46,1024,0.435,0.071,360,690,1,0,2,1,25,4,5,5,5,5,403
44,1024,0.403,0.033,360,840,1,0,3,1,22,3,5,4,4,4,736
133,1024,0.499,0.018,240,868,1,0,5,1,31,4,5,5,5,5,529
22,1024,0.472,0.034,360,869,1,0,3,0,26,5,5,4,5,5,736
13,1024,0.334,0.028,360,873,1,0,2,1,29,5,5,4,5,4,529
52,1024,0.348,0.043,360,876,1,0,4,1,26,4,5,5,5,5,658
26,1536,0.289,0.037,360,887,1,0,2,1,33,3,5,5,4,4,565
42,1536,0.439,0.036,360,890,1,0,6,1,26,2,5,4,4,3,567
38,1536,0.486,0.078,360,912,1,0,2,0,19,4,5,4,5,4,217
35,1536,0.354,0.065,360,916,1,0,4,0,37,4,4,4,4,4,755
35,1024,0.48,0.065,360,916,2,2,4,0,37,4,4,4,4,4,755
93,1536,0.395,0.07,360,927,2,2,4,0,19,4,5,5,5,5,565
33,1536,0.432,0.046,360,927,1,0,4,1,26,3,5,4,4,4,573
93,1536,0.483,0.064,360,929,1,0,1,0,19,4,5,5,5,5,1636
94,2048,0.45,0.033,360,940,1,0,4,0,26,4,5,5,5,5,491
42,1536,0.487,0.036,360,942,1,0,6,1,26,4,5,5,5,5,490
47,2048,0.31,0.048,360,944,1,0,2,1,26,3,5,5,5,5,300
73,2048,0.304,0.043,360,950,1,0,6,1,18,4,3,3,3,3,755
37,1024,0.41,0.053,360,959,1,0,3,1,21,3,4,4,4,4,409
55,2048,0.332,0.032,360,969,1,0,6,1,44,4,5,5,5,5,606
38,2048,0.487,0.042,360,972,1,0,3,0,19,4,5,5,5,5,736
83,2048,0.324,0.041,360,978,1,0,2,1,30,3,4,3,4,3,444
54,2048,0.403,0.06,360,985,1,0,6,1,27,3,5,5,5,5,408
34,2048,0.487,0.062,360,990,1,0,6,1,26,4,3,3,4,4,597
18,2048,0.48,0.048,360,991,1,0,3,1,33,3,5,5,5,5,551
91,2048,0.407,0.061,360,993,1,0,1,1,21,4,5,4,5,4,551
54,2048,0.334,0.028,360,999,1,0,4,1,27,3,5,3,3,4,391
38,2048,0.435,0.093,360,1002,1,0,4,0,19,4,5,5,5,5,463
153,2048,0.386,0.052,360,1028,2,2,2,0,38,4,5,4,4,4,151
80,3072,0.454,0.051,360,1033,1,0,6,1,21,2,5,4,4,3,462
37,2048,0.335,0.036,360,1036,2,2,3,1,21,4,5,5,5,5,454
75,1024,0.393,0.026,360,1036,1,0,3,1,17,4,5,5,4,5,708
5,2048,0.444,0.084,360,1051,2,2,3,1,24,4,3,4,2,3,400
36,3072,0.324,0.032,360,1079,1,0,6,1,38,4,4,4,4,4,834
89,1024,0.426,0.049,360,1082,2,2,1,0,23,3,5,4,4,4,558
41,2560,0.302,0.054,240,1082,2,2,3,1,23,4,5,4,5,4,176
66,2560,0.415,0.054,360,1082,2,2,3,0,23,3,3,4,4,4,463
99,2048,0.489,0.072,360,1082,1,0,3,1,44,5,4,3,4,3,662
72,3072,0.273,0.023,360,1086,1,0,6,1,20,3,4,5,5,5,604
36,2048,0.304,0.043,360,1086,1,0,6,1,38,5,5,5,4,5,596
6,3584,0.49,0.054,360,1095,1,0,1,0,26,2,3,4,3,4,630
58,1024,0.286,0.048,360,1097,2,2,6,1,44,4,5,4,4,4,552
156,3584,0.439,0.036,360,1098,2,2,7,0,34,4,5,5,5,5,1262
43,2560,0.395,0.07,240,1100,1,0,6,1,21,2,4,3,4,3,119
144,3584,0.358,0.045,240,1112,1,0,8,1,41,5,5,5,5,5,492
42,3072,0.424,0.05,360,1114,2,2,6,1,26,4,5,4,4,4,551
58,3584,0.307,0.049,360,1120,1,0,6,1,44,3,5,4,3,3,817
82,3072,0.447,0.056,360,1120,2,2,2,1,26,4,5,4,4,4,196
36,3072,0.334,0.065,360,1132,2,2,6,1,38,3,5,4,4,5,729
132,3584,0.285,0.054,360,1138,2,2,5,1,30,4,5,4,4,4,221
90,4096,0.328,0.039,360,1138,1,0,1,1,44,4,4,3,2,2,571
11,4608,0.444,0.049,360,1144,1,0,6,1,27,3,5,4,4,4,578
7,3584,0.379,0.073,360,1147,1,0,2,0,28,4,5,5,4,5,392
5,4096,0.455,0.033,360,1171,2,2,3,1,24,4,5,4,4,4,395
35,1536,0.48,0.065,360,1171,1,0,4,0,37,4,3,4,2,3,626
8,3072,0.358,0.045,360,1175,1,0,6,1,23,4,5,4,4,4,382
28,1024,0.295,0.047,360,1179,2,2,3,0,28,5,5,4,4,5,529
90,1536,0.393,0.054,360,1183,1,0,1,1,44,4,4,4,4,4,474
92,1536,0.395,0.07,360,1189,1,0,4,1,25,4,5,5,5,4,245
128,3072,0.33,0.052,360,1191,1,0,5,1,27,5,5,5,5,4,392
137,1024,0.394,0.045,360,1197,2,2,5,1,26,4,5,4,4,4,410
130,3072,0.49,0.054,360,1199,1,0,5,1,29,4,5,4,4,4,553
45,3072,0.465,0.032,360,1199,1,0,2,1,23,3,5,5,4,5,579
52,3072,0.456,0.042,360,1201,1,0,2,1,26,4,5,5,5,5,400
133,3584,0.495,0.043,360,1209,1,0,5,1,31,4,5,4,4,4,233
41,1536,0.502,0.063,360,1215,2,2,3,1,23,4,5,5,5,5,196
137,3072,0.346,0.096,360,1216,1,0,5,1,26,4,4,2,3,2,83
67,1536,0.341,0.044,360,1222,2,2,2,1,26,5,5,5,5,5,218
55,1024,0.497,0.045,360,1225,2,2,2,1,44,3,4,4,3,4,299
4,2560,0.489,0.082,360,1226,1,0,3,1,38,5,5,5,5,5,552
56,3584,0.411,0.032,360,1226,1,0,6,1,27,4,5,5,5,5,392
89,1536,0.407,0.063,360,1243,1,0,6,0,23,3,5,4,5,4,245
24,3584,0.435,0.071,360,1247,1,0,6,1,23,3,3,3,4,3,756
6,1024,0.292,0.047,360,1253,1,0,1,0,26,4,5,5,5,5,399
8,3584,0.514,0.068,360,1257,1,0,6,1,23,2,5,4,4,5,473
7,3584,0.502,0.058,360,1259,1,0,2,0,28,4,4,3,4,3,392
88,3072,0.379,0.058,360,1265,1,0,1,1,24,4,5,4,4,4,408
10,3072,0.379,0.058,240,1267,1,0,6,0,25,2,5,4,4,3,71
134,3584,0.322,0.055,360,1270,1,0,5,1,26,5,5,5,5,5,235
135,4096,0.346,0.096,360,1272,1,0,5,1,25,4,5,4,4,4,48
