user_id,QoS_bandwidth,QoS_packet-loss,QoS_delay,QoS_jitter,QoA_VLCresolution,QoA_VLCbitrate,QoA_VLCframerate,QoA_BUFFERINGcount,QoA_BUFFERINGtime,QoS_type,V_content,V_complexity-class,QoD_model,QoU_sex,QoU_age,QoU_Ustedy,QoF_begin,QoF_shift,QoF_audio,QoF_video,MOS
71,1024,0,0.36,0.043,360,528,25,2,683,4,1,0,6,1,20,5,3,5,3,4,3
46,1024,0,0.435,0.071,360,403,30,2,690,5,1,0,2,1,25,5,4,5,5,5,5
44,1024,0,0.403,0.033,360,736,24,2,840,2,1,0,3,1,22,5,3,5,4,4,4
133,1024,0,0.499,0.018,240,529,24,2,868,2,1,0,5,1,31,5,4,5,5,5,5
22,1024,0,0.472,0.034,360,736,24,2,869,4,1,0,3,0,26,5,5,5,4,5,5
13,1024,0,0.334,0.028,360,529,25,2,873,3,1,0,2,1,29,5,5,5,4,5,4
52,1024,0,0.348,0.043,360,658,25,2,876,5,1,0,4,1,26,5,4,5,5,5,5
26,1536,0,0.289,0.037,360,565,25,2,887,4,1,0,2,1,33,5,3,5,5,4,4
42,1536,0,0.439,0.036,360,567,25,2,890,5,1,0,6,1,26,5,2,5,4,4,3
38,1536,0,0.486,0.078,360,217,30,2,912,4,1,0,2,0,19,5,4,5,4,5,4
35,1536,0,0.354,0.065,360,755,25,2,916,2,1,0,4,0,37,5,4,4,4,4,4
35,1024,0,0.48,0.065,360,755,25,2,916,2,2,2,4,0,37,5,4,4,4,4,4
93,1536,0,0.395,0.07,360,565,25,2,927,2,2,2,4,0,19,5,4,5,5,5,5
33,1536,0,0.432,0.046,360,573,25,2,927,4,1,0,4,1,26,5,3,5,4,4,4
93,1536,0,0.483,0.064,360,1636,19,2,929,5,1,0,1,0,19,5,4,5,5,5,5
94,2048,0,0.45,0.033,360,491,25,2,940,4,1,0,4,0,26,5,4,5,5,5,5
42,1536,0,0.487,0.036,360,490,25,1,942,3,1,0,6,1,26,5,4,5,5,5,5
47,2048,0,0.31,0.048,360,300,24,2,944,5,1,0,2,1,26,5,3,5,5,5,5
73,2048,0,0.304,0.043,360,755,25,1,950,3,1,0,6,1,18,5,4,3,3,3,3
37,1024,0,0.41,0.053,360,409,25,1,959,4,1,0,3,1,21,5,3,4,4,4,4
55,2048,0,0.332,0.032,360,606,25,1,969,3,1,0,6,1,44,5,4,5,5,5,5
38,2048,0,0.487,0.042,360,736,24,2,972,4,1,0,3,0,19,5,4,5,5,5,5
83,2048,0,0.324,0.041,360,444,25,2,978,5,1,0,2,1,30,5,3,4,3,4,3
54,2048,0,0.403,0.06,360,408,25,1,985,3,1,0,6,1,27,5,3,5,5,5,5
34,2048,0,0.487,0.062,360,597,25,2,990,3,1,0,6,1,26,5,4,3,3,4,4
18,2048,0,0.48,0.048,360,551,25,2,991,4,1,0,3,1,33,5,3,5,5,5,5
91,2048,0,0.407,0.061,360,551,25,2,993,4,1,0,1,1,21,5,4,5,4,5,4
54,2048,0,0.334,0.028,360,391,30,2,999,5,1,0,4,1,27,5,3,5,3,3,4
38,2048,0,0.435,0.093,360,463,25,2,1002,4,1,0,4,0,19,5,4,5,5,5,5
153,2048,0,0.386,0.052,360,151,30,1,1028,5,2,2,2,0,38,4,4,5,4,4,4
80,3072,0,0.454,0.051,360,462,25,1,1033,2,1,0,6,1,21,5,2,5,4,4,3
37,2048,0,0.335,0.036,360,454,25,2,1036,4,2,2,3,1,21,5,4,5,5,5,5
75,1024,0,0.393,0.026,360,708,25,2,1036,4,1,0,3,1,17,5,4,5,5,4,5
5,2048,0,0.444,0.084,360,400,30,2,1051,5,2,2,3,1,24,5,4,3,4,2,3
36,3072,0,0.324,0.032,360,834,25,2,1079,2,1,0,6,1,38,5,4,4,4,4,4
89,1024,0,0.426,0.049,360,558,25,1,1082,2,2,2,1,0,23,5,3,5,4,4,4
41,2560,0,0.302,0.054,240,176,25,2,1082,2,2,2,3,1,23,5,4,5,4,5,4
66,2560,0,0.415,0.054,360,463,25,2,1082,4,2,2,3,0,23,5,3,3,4,4,4
99,2048,0,0.489,0.072,360,662,25,2,1082,4,1,0,3,1,44,5,5,4,3,4,3
72,3072,0,0.273,0.023,360,604,25,1,1086,2,1,0,6,1,20,5,3,4,5,5,5
36,2048,0,0.304,0.043,360,596,25,2,1086,4,1,0,6,1,38,5,5,5,5,4,5
6,3584,0,0.49,0.054,360,630,25,2,1095,5,1,0,1,0,26,5,2,3,4,3,4
58,1024,0,0.286,0.048,360,552,25,1,1097,3,2,2,6,1,44,5,4,5,4,4,4
156,3584,0,0.439,0.036,360,1262,24,2,1098,5,2,2,7,0,34,5,4,5,5,5,5
43,2560,0,0.395,0.07,240,119,24,2,1100,2,1,0,6,1,21,5,2,4,3,4,3
144,3584,0,0.358,0.045,240,492,24,1,1112,5,1,0,8,1,41,5,5,5,5,5,5
42,3072,0,0.424,0.05,360,551,25,2,1114,3,2,2,6,1,26,5,4,5,4,4,4
58,3584,0,0.307,0.049,360,817,25,1,1120,3,1,0,6,1,44,5,3,5,4,3,3
82,3072,0,0.447,0.056,360,196,24,2,1120,5,2,2,2,1,26,5,4,5,4,4,4
36,3072,0,0.334,0.065,360,729,25,1,1132,2,2,2,6,1,38,5,3,5,4,4,5
132,3584,0,0.285,0.054,360,221,30,1,1138,2,2,2,5,1,30,5,4,5,4,4,4
90,4096,0,0.328,0.039,360,571,25,1,1138,3,1,0,1,1,44,5,4,4,3,2,2
11,4608,0,0.444,0.049,360,578,30,1,1144,2,1,0,6,1,27,5,3,5,4,4,4
7,3584,0,0.379,0.073,360,392,30,2,1147,5,1,0,2,0,28,5,4,5,5,4,5
5,4096,0,0.455,0.033,360,395,25,2,1171,2,2,2,3,1,24,5,4,5,4,4,4
35,1536,0,0.48,0.065,360,626,25,1,1171,2,1,0,4,0,37,5,4,3,4,2,3
8,3072,0,0.358,0.045,360,382,30,2,1175,5,1,0,6,1,23,4,4,5,4,4,4
