QoS_bandwidth,QoS_delay,QoS_jitter,V_content,V_complexity-class,QoA_resolution,QoA-bitrate,QoD_carte-class,QoD_ram-size,MOS
1024,0.36,0.043,1,0,144,79,2,4096,1
1024,0.435,0.071,1,0,144,79,1,4096,1
1024,0.403,0.033,1,0,144,79,2,4096,1
1024,0.499,0.018,1,0,144,79,2,4096,1
1024,0.472,0.034,1,0,144,79,2,4096,1
1024,0.334,0.028,1,0,144,79,1,4096,1
1024,0.348,0.043,1,0,144,79,1,4096,1
1536,0.289,0.037,1,0,144,79,3,1024,1
1536,0.439,0.036,1,0,144,79,2,4096,1
1536,0.486,0.078,1,0,144,79,1,4096,1
1536,0.354,0.065,1,0,144,84,1,4096,1
1024,0.48,0.065,2,2,240,85,1,4096,1
1536,0.395,0.07,2,2,144,86,3,1024,1
1536,0.432,0.046,1,0,144,93,3,1024,1
1536,0.483,0.064,1,0,144,104,1,4096,2
2048,0.45,0.033,1,0,240,263,3,1024,2
1536,0.487,0.036,1,0,240,315,2,4096,2
2048,0.31,0.048,1,0,240,331,3,1024,2
2048,0.304,0.043,1,0,240,372,2,4096,2
1024,0.41,0.053,1,0,240,377,2,4096,3
2048,0.332,0.032,1,0,240,377,1,4096,3
2048,0.487,0.042,1,0,240,377,1,4096,3
2048,0.324,0.041,1,0,240,388,3,1024,2
2048,0.403,0.06,1,0,240,388,2,4096,3
2048,0.487,0.062,1,0,240,389,1,4096,3
2048,0.48,0.048,1,0,240,396,1,4096,2
2048,0.407,0.061,1,0,240,396,2,4096,3
2048,0.334,0.028,1,0,240,396,1,4096,3
2048,0.435,0.093,1,0,240,476,3,1024,3
2048,0.386,0.052,2,2,240,529,1,4096,3
3072,0.454,0.051,1,0,360,564,1,4096,4
2048,0.335,0.036,2,2,240,571,3,1024,3
1024,0.393,0.026,1,0,360,607,2,4096,4
2048,0.444,0.084,2,2,240,619,1,4096,3
3072,0.324,0.032,1,0,360,626,1,4096,4
1024,0.426,0.049,2,2,240,671,2,4096,3
2560,0.302,0.054,2,2,240,689,3,1024,3
2560,0.415,0.054,2,2,360,711,2,4096,4
2048,0.489,0.072,1,0,240,732,1,4096,3
3072,0.273,0.023,1,0,240,736,3,1024,3
2048,0.304,0.043,1,0,360,752,2,4096,4
3584,0.49,0.054,1,0,480,754,1,4096,4
1024,0.286,0.048,2,2,240,770,3,1024,3
3584,0.439,0.036,2,2,480,785,2,4096,5
2560,0.395,0.07,1,0,480,795,3,1024,4
3584,0.358,0.045,1,0,480,808,3,1024,5
3072,0.424,0.05,2,2,360,845,2,4096,5
3584,0.307,0.049,1,0,480,859,2,4096,4
3072,0.447,0.056,2,2,480,924,1,4096,4
3072,0.334,0.065,2,2,360,968,1,4096,5
3584,0.285,0.054,2,2,480,968,1,4096,4
4096,0.328,0.039,1,0,720,1660,2,4096,5
4608,0.444,0.049,1,0,1080,1799,2,4096,5
3584,0.379,0.073,1,0,720,2209,1,4096,5
4096,0.455,0.033,2,2,1080,3498,1,4096,5
1536,0.48,0.065,1,0,144,101.2,1,4096,1
3072,0.358,0.045,1,0,240,1012.6,3,1024,3
1024,0.295,0.047,2,2,144,102.4,3,1024,2
1536,0.393,0.054,1,0,144,102.4,3,1024,2
1536,0.395,0.07,1,0,144,103.2,3,1024,2
3072,0.33,0.052,1,0,360,1032.6,3,1024,5
1024,0.394,0.045,2,2,144,104.6,2,4096,2
3072,0.49,0.054,1,0,360,1045.6,1,4096,4
3072,0.465,0.032,1,0,360,1045.6,1,4096,4
3072,0.456,0.042,1,0,360,1045.6,3,1024,5
3584,0.495,0.043,1,0,480,1045.6,1,4096,5
1536,0.502,0.063,2,2,144,105.4,1,4096,1
3072,0.346,0.096,1,0,360,1051.4,2,4096,4
1536,0.341,0.044,2,2,144,107.2,1,4096,2
1024,0.497,0.045,2,2,144,107.8,2,4096,2
2560,0.489,0.082,1,0,480,1083.6,1,4096,4
3584,0.411,0.032,1,0,480,1102.6,2,4096,4
1536,0.407,0.063,1,0,144,113.8,2,4096,2
3584,0.435,0.071,1,0,1080,1130.6,1,4096,4
1024,0.292,0.047,1,0,144,121.6,3,1024,2
3584,0.514,0.068,1,0,720,1261.75,1,4096,4
3584,0.502,0.058,1,0,720,1312.2,1,4096,4
3072,0.379,0.058,1,0,720,1340.6,1,4096,5
3072,0.379,0.058,1,0,720,1437.6,1,4096,4
3584,0.322,0.055,1,0,720,1590.8,1,4096,5
4096,0.346,0.096,1,0,720,1657.8,2,4096,5
3584,0.319,0.05,1,0,480,1678.4,3,1024,5
4096,0.39,0.059,1,0,720,1683.4,2,4096,5
4096,0.465,0.032,1,0,720,1742.2,1,4096,5
2048,0.39,0.059,1,0,240,1756.6,2,4096,3
4096,0.376,0.046,1,0,720,1776.2,2,4096,5
4096,0.465,0.071,1,0,1080,1799.2,1,4096,5
4096,0.477,0.05,1,0,1080,1799.4,1,4096,5
4096,0.344,0.049,1,0,720,1819.6,1,4096,5
4096,0.496,0.116,1,0,1080,1828.2,1,4096,5
3584,0.33,0.027,1,0,720,1851.8,1,4096,5
3072,0.487,0.042,1,0,720,1856.2,1,4096,3
3584,0.392,0.045,1,0,720,1879.5,2,4096,5
4096,0.455,0.033,1,0,720,1987.2,1,4096,5
4608,0.495,0.043,1,0,1080,1987.2,1,4096,5
4096,0.465,0.071,1,0,1080,2017.4,1,4096,5
4096,0.455,0.033,1,0,1080,2017.4,1,4096,5
3584,0.333,0.034,1,0,720,2020.8,3,1024,5
4096,0.292,0.047,1,0,1080,2038.2,3,1024,5
3584,0.312,0.049,2,2,1080,2045.8,1,4096,5
4096,0.444,0.049,1,0,720,2089.4,2,4096,5
4096,0.477,0.05,1,0,1080,2089.4,1,4096,5
4608,0.435,0.049,1,0,1080,2089.4,2,4096,5
3584,0.377,0.056,1,0,720,2102.8,1,4096,5
3584,0.322,0.055,1,0,1080,2154.4,1,4096,5
4096,0.334,0.065,1,0,1080,2517.4,1,4096,5
2048,0.339,0.035,1,0,240,263.2,3,1024,3
1536,0.301,0.037,1,0,240,265.6,2,4096,3
2048,0.438,0.04,1,0,240,266.2,2,4096,2
2048,0.408,0.033,1,0,240,283.6,2,4096,3
4096,0.496,0.116,2,2,720,2842.2,1,4096,5
4096,0.307,0.049,2,2,720,2885.2,2,4096,4
2048,0.48,0.074,1,0,240,292.2,1,4096,3
2048,0.469,0.066,1,0,240,308.8,1,4096,3
1536,0.37,0.035,1,0,240,311.8,3,1024,3
4608,0.328,0.039,2,2,1080,3135.8,2,4096,5
1536,0.303,0.065,1,0,240,315.6,3,1024,3
3584,0.33,0.052,2,2,720,3209.2,3,1024,5
2048,0.505,0.051,1,0,240,323.8,1,4096,3
2048,0.303,0.065,1,0,240,328.4,3,1024,3
2048,0.416,0.07,1,0,240,333.25,2,4096,2
2048,0.305,0.061,1,0,240,333.4,3,1024,3
4096,0.407,0.063,2,2,720,3403.6,2,4096,5
1536,0.534,0.053,1,0,240,341.25,3,1024,3
4608,0.495,0.043,2,2,1080,3421.2,1,4096,5
4608,0.344,0.049,2,2,1080,3437.8,1,4096,5
4608,0.39,0.059,2,2,1080,3479.4,2,4096,4
1024,0.328,0.052,1,0,240,351.8,3,1024,3
4096,0.465,0.032,2,2,720,3514.6,1,4096,4
4096,0.435,0.049,2,2,720,3711.8,2,4096,5
1024,0.308,0.055,1,0,240,375.2,1,4096,2
