user,device,video_type,complexity,bandwidth,quality,buffersize,Rebuffer,screen_size,resolution,memory_load,percent_memory,vmos,rmos
1,1,1,1,20815.66409,750,4,967,6,10,20,0.02,1,1
1,1,1,1,22442.00018,1850,8,0,6,10,80,0.08,5,1
1,1,1,1,24362.67355,4300,12,0,6,10,360,0.36,6,1
1,1,1,1,26232.86929,4300,16,0,6,10,480,0.48,6,1
1,1,1,1,28067.83003,4300,20,0,6,10,600,0.6,6,1
1,1,1,1,136558.7891,4300,24,0,6,10,720,0.72,6,1
1,1,1,1,170325.209,4300,28,0,6,10,840,0.84,6,0
1,1,1,1,171986.4431,4300,32,0,6,10,960,0.96,6,0
1,1,1,1,170249.2344,4300,36,0,6,10,1080,1.08,6,0
1,1,1,1,169299.3387,4300,40,0,6,10,1200,1.2,6,0
1,1,1,1,173330.5553,4300,44,0,6,10,1320,1.32,6,0
1,1,1,1,172423.2683,4300,48,0,6,10,1440,1.44,6,0
1,1,1,1,171245.8708,4300,52,0,6,10,1560,1.56,6,0
1,1,1,1,174763.7955,4300,56,0,6,10,1680,1.68,6,0
1,1,1,1,171935.1741,4300,59.749651,0,6,10,1792.48953,1.79248953,6,0
1,1,1,1,171603.469,4300,59.762485,0,6,10,1792.87455,1.79287455,6,0
1,1,1,1,174515.4534,4300,59.789776,0,6,10,1793.69328,1.79369328,6,0
1,1,1,1,172041.9834,4300,59.941613,0,6,10,1798.24839,1.79824839,6,0
1,1,1,1,171245.3925,4300,59.907757,0,6,10,1797.23271,1.79723271,6,0
1,1,1,1,173849.5128,4300,59.791641,0,6,10,1793.74923,1.79374923,6,0
1,1,1,1,171931.2453,4300,59.761574,0,6,10,1792.84722,1.79284722,6,0
1,1,1,1,170268.5092,4300,59.555027,0,6,10,1786.65081,1.78665081,6,0
1,1,1,1,172874.0097,4300,59.8735,0,6,10,1796.205,1.796205,6,0
1,1,1,1,170014.5751,4300,59.600218,0,6,10,1788.00654,1.78800654,6,0
1,1,1,1,170476.4148,4300,59.57609,0,6,10,1787.2827,1.7872827,6,0
1,1,1,1,171591.1722,4300,59.821111,0,6,10,1794.63333,1.79463333,6,0
1,1,1,1,174741.4312,4300,59.648497,0,6,10,1789.45491,1.78945491,6,0
1,1,1,1,170500.1876,4300,59.532452,0,6,10,1785.97356,1.78597356,6,0
1,1,1,1,172021.6721,4300,59.830747,0,6,10,1794.92241,1.79492241,6,0
1,1,1,1,171668.3351,4300,59.948205,0,6,10,1798.44615,1.79844615,6,0
1,1,1,1,171800.2936,4300,59.632121,0,6,10,1788.96363,1.78896363,6,0
1,1,1,1,168319.5573,4300,59.600867,0,6,10,1788.02601,1.78802601,6,0
